Gyro.gyro_X,Gyro.gyro_Y,Vehicle_States.lateral_vel_wrt_road,Vehicle_States.longitudinal_vel_wrt_road,Vehicle_States.roll_angle,Vehicle_States.yaw_angle,driving_machine_monitor.path_distance,driving_machine_monitor.path_curvature,driver_demands.steering
8.700504444,3.83E-05,8.44E-05,18.93510694,-5.51E-06,-3.60E-06,-1.99E-05,0,3.62E-05
8.889853345,3.85E-05,8.38E-05,18.93467331,-5.50E-06,-3.61E-06,-2.01E-05,0,3.56E-05
9.079197918,3.86E-05,8.34E-05,18.93424212,-5.49E-06,-3.63E-06,-2.03E-05,0,3.52E-05
9.268538212,3.88E-05,8.30E-05,18.93381812,-5.49E-06,-3.65E-06,-2.04E-05,0,3.50E-05
9.457874312,3.89E-05,8.27E-05,18.93340346,-5.48E-06,-3.68E-06,-2.06E-05,0,3.49E-05
9.647206307,3.90E-05,8.25E-05,18.93299655,-5.48E-06,-3.72E-06,-2.08E-05,0,3.50E-05
9.836534258,3.91E-05,8.24E-05,18.93259419,-5.48E-06,-3.75E-06,-2.10E-05,0,3.53E-05
10.0258582,3.92E-05,8.24E-05,18.93219459,-5.48E-06,-3.79E-06,-2.11E-05,0,3.56E-05
10.21517816,3.93E-05,8.25E-05,18.93179847,-5.48E-06,-3.84E-06,-2.13E-05,0,3.61E-05
10.40449419,3.94E-05,8.26E-05,18.93140788,-5.48E-06,-3.89E-06,-2.15E-05,0,3.66E-05
10.59380634,3.95E-05,8.28E-05,18.93102417,-5.48E-06,-3.94E-06,-2.16E-05,0,3.73E-05
10.78311469,3.95E-05,8.30E-05,18.93064698,-5.49E-06,-3.99E-06,-2.18E-05,0,3.80E-05
10.9724193,3.96E-05,8.32E-05,18.93027486,-5.49E-06,-4.05E-06,-2.20E-05,0,3.87E-05
11.1617202,3.96E-05,8.35E-05,18.92990671,-5.50E-06,-4.10E-06,-2.21E-05,0,3.95E-05
11.35101745,3.97E-05,8.39E-05,18.92954257,-5.50E-06,-4.16E-06,-2.23E-05,0,4.03E-05
11.54031107,3.97E-05,8.42E-05,18.92918336,-5.51E-06,-4.22E-06,-2.24E-05,0,4.12E-05
11.72960113,3.98E-05,8.45E-05,18.92882993,-5.52E-06,-4.28E-06,-2.26E-05,0,4.20E-05
11.91888769,3.98E-05,8.49E-05,18.92848229,-5.52E-06,-4.34E-06,-2.27E-05,0,4.29E-05
12.10817079,3.98E-05,8.52E-05,18.92813983,-5.53E-06,-4.40E-06,-2.28E-05,0,4.37E-05
12.2974505,3.98E-05,8.56E-05,18.92780186,-5.53E-06,-4.45E-06,-2.29E-05,0,4.45E-05
12.48672685,3.98E-05,8.59E-05,18.92746825,-5.54E-06,-4.51E-06,-2.30E-05,0,4.53E-05
12.67599988,3.98E-05,8.62E-05,18.92713935,-5.54E-06,-4.57E-06,-2.31E-05,0,4.61E-05
12.86526965,3.98E-05,8.65E-05,18.92681563,-5.55E-06,-4.62E-06,-2.32E-05,0,4.69E-05
13.05453621,3.98E-05,8.68E-05,18.92649725,-5.55E-06,-4.67E-06,-2.33E-05,0,4.76E-05
13.24379961,3.97E-05,8.70E-05,18.92618396,-5.55E-06,-4.73E-06,-2.34E-05,0,4.83E-05
13.43305991,3.97E-05,8.72E-05,18.92587538,-5.56E-06,-4.78E-06,-2.34E-05,0,4.89E-05
13.62231714,3.97E-05,8.74E-05,18.92557136,-5.56E-06,-4.82E-06,-2.35E-05,0,4.95E-05
13.81157135,3.96E-05,8.76E-05,18.925272,-5.55E-06,-4.87E-06,-2.35E-05,0,5.01E-05
14.00082259,3.95E-05,8.77E-05,18.92497754,-5.55E-06,-4.92E-06,-2.35E-05,0,5.06E-05
14.19007092,3.95E-05,8.78E-05,18.92468809,-5.55E-06,-4.96E-06,-2.35E-05,0,5.11E-05
14.37931637,3.94E-05,8.79E-05,18.9244036,-5.55E-06,-5.00E-06,-2.36E-05,0,5.16E-05
