time.TIME,Gyro.gyro_X,Gyro.gyro_Y,Vehicle_States.lateral_vel_wrt_road,Vehicle_States.longitudinal_vel_wrt_road,Vehicle_States.roll_angle,Vehicle_States.yaw_angle,driving_machine_monitor.path_distance,driving_machine_monitor.path_curvature,driver_demands.steering,driver_demands.throttle
0.35,5.480841984,3.44955E-05,0.000105984,18.94383173,-5.57124E-06,-4.00115E-06,-1.66822E-05,0,7.46332E-05,11.03872302
0.36,5.670277046,3.47854E-05,0.000104785,18.94319125,-5.58592E-06,-3.97424E-06,-1.69371E-05,0,7.15005E-05,11.17710272
0.37,5.85970594,3.50682E-05,0.000103458,18.9425983,-5.59647E-06,-3.9426E-06,-1.71759E-05,0,6.83396E-05,11.30718376
0.38,6.049129098,3.53435E-05,0.000102035,18.94203957,-5.60327E-06,-3.90761E-06,-1.74006E-05,0,6.51943E-05,11.42811919
0.39,6.238546727,3.56111E-05,0.000100546,18.94148758,-5.60676E-06,-3.87049E-06,-1.76131E-05,0,6.20987E-05,11.53975312
0.4,6.427958794,3.58707E-05,9.90185E-05,18.94092621,-5.60752E-06,-3.8324E-06,-1.7815E-05,0,0.000059081,11.64225355
0.41,6.61736522,3.61221E-05,9.74769E-05,18.94036157,-5.6057E-06,-3.79439E-06,-1.8008E-05,0,5.61679E-05,11.73564385
0.42,6.806766061,3.63653E-05,9.59434E-05,18.93981221,-5.60147E-06,-3.75748E-06,-1.81938E-05,0,5.33882E-05,11.81964853
0.43,6.996161545,3.66001E-05,9.44386E-05,18.93929104,-5.59516E-06,-3.72261E-06,-1.83739E-05,0,5.0768E-05,11.89392376
0.44,7.185551957,3.68265E-05,9.29808E-05,18.93879554,-5.58721E-06,-3.69062E-06,-1.85496E-05,0,4.83281E-05,11.95841069
0.45,7.374937489,3.70443E-05,9.15867E-05,18.93831259,-5.57807E-06,-3.66221E-06,-1.87224E-05,0,4.60815E-05,12.01350221
0.46,7.564318206,3.72535E-05,9.02692E-05,18.93783105,-5.56807E-06,-3.63794E-06,-1.88931E-05,0,4.40364E-05,12.05993219
0.47,7.753694107,3.74542E-05,8.90397E-05,18.93734996,-5.55744E-06,-3.61829E-06,-1.90627E-05,0,4.21978E-05,12.09854378
0.48,7.943065228,3.76464E-05,8.79059E-05,18.93687661,-5.54647E-06,-3.60363E-06,-1.92319E-05,0,4.05707E-05,12.1301612
0.49,8.132431688,3.783E-05,8.68745E-05,18.93641807,-5.53548E-06,-3.59425E-06,-1.94012E-05,0,3.91592E-05,12.15565729
0.5,8.32179364,3.80051E-05,8.59504E-05,18.9359746,-5.52481E-06,-3.59037E-06,-1.95711E-05,0,3.79639E-05,12.17612879
0.51,8.511151209,3.81718E-05,8.51364E-05,18.93553993,-5.51477E-06,-3.5921E-06,-1.9742E-05,0,3.69814E-05,12.19302011
0.52,8.700504444,3.83301E-05,8.44343E-05,18.93510694,-5.50562E-06,-3.59944E-06,-1.9914E-05,0,3.62039E-05,12.20811179
0.53,8.889853345,3.848E-05,8.38433E-05,18.93467331,-5.49753E-06,-3.61232E-06,-2.00869E-05,0,3.56216E-05,12.2229623
0.54,9.079197918,3.86216E-05,8.33607E-05,18.93424212,-5.49064E-06,-3.63059E-06,-2.02608E-05,0,3.52244E-05,12.23782996
0.55,9.268538212,3.87549E-05,8.29827E-05,18.93381812,-5.48502E-06,-3.65406E-06,-2.04354E-05,0,3.50022E-05,12.25264663
