time.TIME,Gyro.gyro_X,Gyro.gyro_Y,Vehicle_States.lateral_vel_wrt_road,Vehicle_States.longitudinal_vel_wrt_road,Vehicle_States.roll_angle,Vehicle_States.yaw_angle,driving_machine_monitor.path_curvature,driving_machine_monitor.path_distance,driver_demands.steering
0.38,5.667774604,3.52121E-05,9.49883E-05,17.93961363,-5.59766E-06,-3.77137E-06,0,-1.70378E-05,6.03884E-05
0.39,5.84716862,3.54731E-05,9.35767E-05,17.93918995,-5.60396E-06,-3.73817E-06,0,-1.72483E-05,5.72979E-05
0.4,6.026558328,3.57258E-05,9.21486E-05,17.9387506,-5.60805E-06,-3.70515E-06,0,-1.74499E-05,5.43277E-05
0.41,6.205943588,3.59701E-05,9.07256E-05,17.93830366,-5.6102E-06,-3.6733E-06,0,-1.76442E-05,5.15022E-05
0.42,6.38532444,3.62058E-05,8.93267E-05,17.93787281,-5.61046E-06,-3.64357E-06,0,-1.78327E-05,4.88478E-05
0.43,6.564701142,3.64327E-05,8.79699E-05,17.93747437,-5.60896E-06,-3.61682E-06,0,-1.80167E-05,4.63892E-05
0.44,6.744074015,3.66509E-05,0.000086671,17.9371049,-5.60599E-06,-3.59379E-06,0,-1.81977E-05,4.41442E-05
0.45,6.923443272,3.68601E-05,8.54438E-05,17.93674755,-5.60185E-06,-3.57508E-06,0,-1.83767E-05,0.000042121
0.46,7.102808953,3.70605E-05,8.42992E-05,17.93638822,-5.59678E-06,-3.56113E-06,0,-1.85545E-05,4.03215E-05
0.47,7.282171022,3.72518E-05,8.32449E-05,17.93602618,-5.59099E-06,-3.55225E-06,0,-1.87319E-05,3.87454E-05
0.48,7.461529499,3.74343E-05,8.22862E-05,17.93567146,-5.58467E-06,-3.54869E-06,0,-1.89093E-05,3.73933E-05
0.49,7.640884508,3.76078E-05,8.14266E-05,17.93533366,-5.57802E-06,-3.55062E-06,0,-1.9087E-05,3.62656E-05
